track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,cover_url,cluster
Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",2,2023,7,14,553.0,147,0.0430112772865876,43.0,263.0,45.0,10.0,826.0,0.42553191489361697,B,Major,0.7808219178082192,0.913978494623656,0.8313253012048193,0.31958762886597936,0.0,0.05319148936170213,0.024727992087042572,Not Found,0
LALA,Myke Towers,1,2023,3,23,1474.0,48,0.03999922334305907,48.0,126.0,58.0,14.0,382.0,0.1914893617021276,C#,Major,0.6575342465753424,0.6129032258064517,0.7228915662650603,0.07216494845360824,0.0,0.07446808510638298,0.024727992087042572,https://i.scdn.co/image/ab67616d0000b2730656d5ce813ca3cc4b677e05,0
vampire,Olivia Rodrigo,1,2023,6,30,1397.0,113,0.042469911556900136,94.0,207.0,91.0,14.0,949.0,0.5177304964539007,F,Major,0.38356164383561636,0.3010752688172043,0.4698795180722892,0.17525773195876287,0.0,0.2978723404255319,0.0741839762611277,https://i.scdn.co/image/ab67616d0000b273e85259a1cae29a8d91f2093d,1
Cruel Summer,Taylor Swift,1,2019,8,23,7858.0,100,0.30213957062268726,116.0,207.0,125.0,12.0,548.0,0.7446808510638298,A,Major,0.43835616438356156,0.5806451612903226,0.6987951807228916,0.1134020618556701,0.0,0.08510638297872342,0.2967359050445108,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647,1
WHERE SHE GOES,Bad Bunny,1,2023,5,18,3133.0,50,0.10661053658810457,84.0,133.0,87.0,15.0,425.0,0.5602836879432623,A,Minor,0.5753424657534247,0.20430107526881724,0.7951807228915663,0.14432989690721648,1.0,0.08510638297872342,0.0741839762611277,https://i.scdn.co/image/ab67616d0000b273ab5c9cd818ad6ed3e9b79cd1,1
Sprinter,"Dave, Central Cee",2,2023,6,1,2186.0,91,0.05964230603643188,67.0,213.0,88.0,17.0,946.0,0.5390070921985816,C#,Major,0.9452054794520548,0.6666666666666667,0.5301204819277109,0.1958762886597938,0.0,0.05319148936170213,0.5192878338278939,https://i.scdn.co/image/ab67616d0000b273e3a09a9ae3f1fa102c110e60,3
Ella Baila Sola,"Eslabon Armado, Peso Pluma",2,2023,3,16,3090.0,50,0.27272375649143055,34.0,222.0,43.0,13.0,418.0,0.5886524822695035,F,Minor,0.6027397260273972,0.849462365591398,0.746987951807229,0.4948453608247423,0.0,0.05319148936170213,0.0,https://i.scdn.co/image/ab67616d0000b2732071a0c79802d9375a53bfef,0
Columbia,Quevedo,1,2023,7,7,714.0,43,0.01030591334548725,25.0,89.0,30.0,13.0,194.0,0.24822695035460995,F,Major,0.6027397260273972,0.23655913978494625,0.6867469879518073,0.38144329896907214,0.0,0.08510638297872342,0.024727992087042572,https://i.scdn.co/image/ab67616d0000b273a00a817b017c6f6bf8460be9,1
fukumean,Gunna,1,2023,5,15,1096.0,83,0.02487141262873783,60.0,210.0,48.0,11.0,953.0,0.46099290780141844,C#,Minor,0.8493150684931507,0.1935483870967742,0.5783132530120483,0.12371134020618557,0.0,0.26595744680851063,0.14836795252225543,https://i.scdn.co/image/ab67616d0000b273017d5e26552345c4b1575b6c,1
La Bebe - Remix,"Peso Pluma, Yng Lvcas",2,2023,3,17,2953.0,44,0.20500198943116574,49.0,110.0,66.0,13.0,339.0,0.7446808510638298,D,Minor,0.7945205479452055,0.5591397849462366,0.40963855421686757,0.21649484536082475,0.0,0.05319148936170213,0.741839762611277,Not Found,3
un x100to,"Bad Bunny, Grupo Frontera",2,2023,4,17,2876.0,40,0.18615552278473993,41.0,205.0,54.0,12.0,251.0,0.12765957446808507,F#,Minor,0.4657534246575343,0.5591397849462366,0.6987951807228916,0.23711340206185566,0.0,0.2553191489361702,0.049455984174085144,Not Found,1
Super Shy,NewJeans,1,2023,7,7,422.0,55,0.010347475463988422,37.0,202.0,21.0,5.0,168.0,0.6028368794326241,F,Minor,0.7534246575342465,0.5161290322580646,0.819277108433735,0.18556701030927836,0.0,0.12765957446808512,0.09891196834817027,https://i.scdn.co/image/ab67616d0000b2733d98a0ae7c78a3a9babaf8af,0
Daylight,David Kushner,1,2023,4,14,3528.0,98,0.13974895845558952,80.0,156.0,182.0,24.0,0.0,0.46099290780141844,D,Minor,0.38356164383561636,0.3010752688172043,0.3493975903614458,0.8556701030927835,0.0,0.06382978723404256,0.0,https://i.scdn.co/image/ab67616d0000b27395ca6a9b4083a86c149934ae,2
As It Was,Harry Styles,1,2022,3,31,23575.0,130,0.974990580579184,403.0,198.0,863.0,46.0,0.0,0.7730496453900709,F#,Minor,0.3972602739726027,0.6666666666666667,0.710843373493976,0.35051546391752575,0.0,0.2978723404255319,0.0741839762611277,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0,0
Kill Bill,SZA,1,2022,12,8,8109.0,77,0.4444834360954,183.0,162.0,161.0,12.0,187.0,0.17021276595744683,G#,Major,0.5616438356164384,0.41935483870967744,0.710843373493976,0.05154639175257732,0.3486464315012322,0.13829787234042554,0.024727992087042572,https://i.scdn.co/image/ab67616d0000b2730c471c36970b9406233842a5,1
Cupid - Twin Ver.,Fifty Fifty,1,2023,2,24,2942.0,77,0.18266787901879983,91.0,212.0,78.0,6.0,0.0,0.3900709219858156,B,Minor,0.7534246575342465,0.7741935483870969,0.5421686746987953,0.44329896907216493,0.0,0.32978723404255317,0.0,https://i.scdn.co/image/ab67616d0000b27337c0b3670236c067c8e8bbcb,0
Classy 101,"Feid, Young Miko",2,2023,3,31,2610.0,40,0.11917910166120578,43.0,100.0,54.0,14.0,187.0,0.24822695035460995,B,Major,0.8630136986301369,0.6774193548387097,0.6265060240963856,0.14432989690721648,0.0,0.09574468085106383,0.3214638971315534,https://i.scdn.co/image/ab67616d0000b27329ebee2b5fb008871fcd201a,0
Like Crazy,Jimin,1,2023,3,24,596.0,68,0.13023940019730434,8.0,104.0,23.0,2.0,29.0,0.3900709219858156,G,Major,0.547945205479452,0.34408602150537637,0.710843373493976,0.0,0.0,0.35106382978723405,0.024727992087042572,https://i.scdn.co/image/ab67616d0000b2732b46078245d0120690eb560d,1
LADY GAGA,"Gabito Ballesteros, Junior H, Peso Pluma",3,2023,6,22,332.0,26,0.02142435138025683,11.0,163.0,10.0,4.0,0.0,0.5319148936170213,F,Minor,0.5753424657534247,0.89247311827957,0.7228915662650603,0.2268041237113402,0.0,0.4148936170212766,0.024727992087042572,Not Found,0
I Can See You (Taylorï¿½ï¿½ï¿½s Version) (From The ,Taylor Swift,1,2023,7,7,516.0,38,0.0079427171901583,73.0,119.0,42.0,1.0,150.0,0.4113475177304964,F#,Major,0.6301369863013699,0.838709677419355,0.746987951807229,0.061855670103092786,0.0,0.031914893617021274,0.0,Not Found,0
"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma",2,2023,5,31,1313.0,40,0.06629910849096442,17.0,152.0,32.0,11.0,139.0,0.4822695035460993,F,Minor,0.8493150684931507,0.827956989247312,0.6385542168674699,0.26804123711340205,0.0,0.09574468085106383,0.049455984174085144,https://i.scdn.co/image/ab67616d0000b27315583045b2fdb7d7bab10e81,0
Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),"The Weeknd, Madonna, Playboi Carti",3,2023,6,2,1945.0,87,0.032788084580901586,74.0,182.0,87.0,14.0,0.0,0.24113475177304966,C#,Major,0.8493150684931507,0.849462365591398,0.6506024096385543,0.07216494845360824,0.0,0.35106382978723405,0.42037586547972366,https://i.scdn.co/image/ab67616d0000b2734c8f092adc59b4bf4212389d,0
SABOR FRESA,Fuerza Regida,1,2023,6,22,250.0,26,0.01822416884847315,16.0,149.0,10.0,5.0,168.0,0.46099290780141844,G,Minor,0.7671232876712328,0.989247311827957,0.8674698795180723,0.09278350515463918,0.0,0.06382978723404256,0.14836795252225543,https://i.scdn.co/image/ab67616d0000b273cfe3eb72c48b93971e53efd9,0
Calm Down (with Selena Gomez),"Rï¿½ï¿½ma, Selena G",2,2022,3,25,7112.0,77,0.34078236288683517,202.0,119.0,318.0,38.0,96.0,0.2978723404255319,B,Major,0.7808219178082192,0.838709677419355,0.7951807228915663,0.44329896907216493,0.0,0.11702127659574468,0.024727992087042572,Not Found,0
MOJABI GHOST,"Tainy, Bad Bunny",2,2023,6,29,859.0,40,0.0115224226281999,35.0,109.0,41.0,14.0,211.0,0.4042553191489362,F#,Minor,0.7945205479452055,0.7526881720430109,0.6867469879518073,0.14432989690721648,0.0,0.5638297872340425,0.024727992087042572,https://i.scdn.co/image/ab67616d0000b273de7b9af78fbdda96c5a0635b,0
Last Night,Morgan Wallen,1,2023,1,31,2420.0,19,0.1563542649175012,52.0,107.0,15.0,1.0,325.0,0.9858156028368793,F#,Major,0.3972602739726027,0.5161290322580646,0.6506024096385543,0.4742268041237113,0.0,0.12765957446808512,0.024727992087042572,https://i.scdn.co/image/ab67616d0000b273fc1df8423733f6f3c9e8dea2,2
Dance The Night (From Barbie The Album),Dua Lipa,1,2023,5,25,2988.0,101,0.037520816203076526,0.0,0.0,143.0,38.0,0.0,0.3191489361702128,B,Minor,0.6027397260273972,0.7956989247311829,0.855421686746988,0.020618556701030927,0.0,0.3191489361702128,0.049455984174085144,https://i.scdn.co/image/ab67616d0000b2737dd3ba455ee3390cb55b0192,0
Rush,Troye Sivan,1,2023,7,13,864.0,78,0.0,71.0,135.0,50.0,1.0,294.0,0.43262411347517726,F,Minor,0.6986301369863015,0.33333333333333337,0.8433734939759038,0.0,0.0,0.08510638297872342,0.0741839762611277,https://i.scdn.co/image/ab67616d0000b273a4ffb2049ffce92bdae5f559,1
TULUM,"Peso Pluma, Grupo Frontera",2,2023,6,28,266.0,34,0.008005201826544295,20.0,185.0,13.0,8.0,197.0,0.7304964539007092,F#,Major,0.4520547945205479,0.6344086021505377,0.8795180722891568,0.4020618556701031,0.0,0.08510638297872342,0.049455984174085144,https://i.scdn.co/image/ab67616d0000b2732fb583ed96f8f35cbf2897ba,0
Creepin',"The Weeknd, 21 Savage, Metro Boomin",3,2022,12,2,6036.0,88,0.31908187202423643,113.0,149.0,245.0,23.0,27.0,0.23404255319148937,C#,Minor,0.6575342465753424,0.13978494623655913,0.5662650602409639,0.3711340206185567,0.0,0.05319148936170213,0.049455984174085144,https://i.scdn.co/image/ab67616d0000b273703d523982199b2d1f2c77f5,1
Anti-Hero,Taylor Swift,1,2022,10,21,9082.0,56,0.3802983973753925,242.0,142.0,165.0,9.0,310.0,0.22695035460992907,E,Major,0.5616438356164384,0.5053763440860216,0.5903614457831325,0.12371134020618557,0.0,0.1702127659574468,0.049455984174085144,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5,1
TQG,"Karol G, Shakira",2,2023,2,23,4284.0,49,0.2306831466940825,115.0,123.0,184.0,18.0,354.0,0.8156028368794327,E,Minor,0.6712328767123288,0.6129032258064517,0.5903614457831325,0.6907216494845361,0.0,0.06382978723404256,0.6181998021760642,https://i.scdn.co/image/ab67616d0000b27382de1ca074ae63cb18fce335,3
Frï¿½ï¿½gil (feat. Grupo Front,"Yahritza Y Su Esencia, Grupo Frontera",2,2023,4,7,672.0,34,0.06169631212550446,19.0,108.0,24.0,9.0,212.0,0.6028368794326241,F#,Major,0.5205479452054795,0.3763440860215054,0.710843373493976,0.38144329896907214,0.0,0.08510638297872342,0.0,Not Found,1
Blank Space,Taylor Swift,1,2014,1,1,11434.0,53,0.5202681001121571,154.0,123.0,410.0,2.0,81.0,0.21985815602836878,F,Major,0.7123287671232876,0.5698924731182796,0.6506024096385543,0.09278350515463918,0.0,0.10638297872340427,0.0741839762611277,https://i.scdn.co/image/ab67616d0000b2739abdf14e6058bd3903686148,0
Style,Taylor Swift,1,2014,1,1,7830.0,42,0.2963794610905953,94.0,111.0,151.0,4.0,82.0,0.21276595744680848,D,Major,0.5068493150684932,0.47311827956989244,0.783132530120482,0.0,0.0,0.09574468085106383,0.024727992087042572,https://i.scdn.co/image/ab67616d0000b2739abdf14e6058bd3903686148,1
TQM,Fuerza Regida,1,2023,5,19,584.0,28,0.05683169665392794,16.0,159.0,15.0,6.0,100.0,0.42553191489361697,F,Minor,0.7671232876712328,0.989247311827957,0.855421686746988,0.27835051546391754,0.0,0.08510638297872342,0.0741839762611277,https://i.scdn.co/image/ab67616d0000b273832ea5d2f8c10f95fc3cc66d,0
El Azul,"Junior H, Peso Pluma",2,2023,2,10,692.0,25,0.12675231519296948,10.0,107.0,6.0,3.0,62.0,0.5602836879432623,A,Minor,0.4520547945205479,0.860215053763441,0.6144578313253013,0.23711340206185566,0.0,0.07446808510638298,0.0741839762611277,https://i.scdn.co/image/ab67616d0000b27333ed356efed99b158c4267c6,0
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",2,2018,10,9,24094.0,78,0.9999999999999999,372.0,117.0,843.0,4.0,69.0,0.17730496453900713,D,Major,0.726027397260274,0.9354838709677421,0.4337349397590362,0.5567010309278351,0.0,0.0425531914893617,0.049455984174085144,https://i.scdn.co/image/ab67616d0000b273e2e352d89826aef6dbd5ff8f,0
I'm Good (Blue),"Bebe Rexha, David Guetta",2,2022,8,26,12482.0,80,0.4233980502049907,291.0,184.0,537.0,45.0,727.0,0.44680851063829785,G,Minor,0.4520547945205479,0.3655913978494624,1.0,0.041237113402061855,0.0,0.3404255319148936,0.024727992087042572,Not Found,1
See You Again,"Tyler, The Creator, Kali Uchis",3,2017,7,21,13387.0,64,0.39890532150706876,77.0,58.0,247.0,1.0,311.0,0.099290780141844,F#,Major,0.4520547945205479,0.5806451612903226,0.5060240963855422,0.38144329896907214,0.0,0.08510638297872342,0.173095944609298,https://i.scdn.co/image/ab67616d0000b2738940ac99f49e44f59e6f7fb3,0
Angels Like You,Miley Cyrus,1,2020,11,27,3372.0,19,0.21163521544665892,65.0,48.0,138.0,1.0,102.0,0.4042553191489362,F,Major,0.6027397260273972,0.48387096774193555,0.6024096385542169,0.10309278350515463,0.0,0.07446808510638298,0.0,https://i.scdn.co/image/ab67616d0000b2738cffb7c6c40759eaf8a5a142,1
Die For You,The Weeknd,1,2016,11,24,2483.0,59,0.6350190793624918,68.0,21.0,24.0,0.0,259.0,0.4893617021276595,C#,Minor,0.49315068493150677,0.5053763440860216,0.45783132530120485,0.09278350515463918,0.0,0.12765957446808512,0.09891196834817027,https://i.scdn.co/image/ab67616d0000b273a048415db06a5b6fa7ec4e1a,1
Starboy,"The Weeknd, Daft Punk",2,2016,9,21,29536.0,79,0.9955575657632928,281.0,137.0,2445.0,1.0,140.0,0.8581560283687942,G,Major,0.6164383561643836,0.48387096774193555,0.5421686746987953,0.16494845360824742,0.0,0.10638297872340427,0.6181998021760642,https://i.scdn.co/image/ab67616d0000b2734718e2b124f79258be7bc452,3
Die For You - Remix,"Ariana Grande, The Weeknd",2,2023,2,24,3408.0,47,0.19129269918099998,87.0,86.0,74.0,1.0,16.0,0.014184397163120532,C#,Minor,0.4109589041095891,0.49462365591397855,0.4698795180722892,0.23711340206185566,0.0,0.43617021276595747,0.09891196834817027,Not Found,1
El Cielo,"Feid, Myke Towers, Sky Rompiendo",3,2023,6,2,1298.0,38,0.029797526848607845,44.0,64.0,57.0,10.0,110.0,0.2907801418439716,A#,Minor,0.6712328767123288,0.13978494623655913,0.6024096385542169,0.07216494845360824,0.0,0.07446808510638298,0.049455984174085144,Not Found,1
Baby Don't Hurt Me,"David Guetta, Anne-Marie, Coi Leray",3,2023,4,6,4277.0,66,0.057298191864980086,145.0,111.0,213.0,11.0,810.0,0.44680851063829785,G,Major,0.5068493150684932,0.20430107526881724,0.9277108433734941,0.0,0.0,0.09574468085106383,0.0,https://i.scdn.co/image/ab67616d0000b2730b4ef75c3728599aa4104f7a,1
AMARGURA,Karol G,1,2023,2,24,1133.0,39,0.04772275671367181,14.0,71.0,23.0,10.0,176.0,0.2978723404255319,F#,Minor,0.9452054794520548,0.5483870967741936,0.674698795180723,0.18556701030927836,0.0,0.12765957446808512,0.09891196834817027,https://i.scdn.co/image/ab67616d0000b27382de1ca074ae63cb18fce335,0
(It Goes Like) Nanana - Edit,Peggy Gou,1,2023,6,15,2259.0,59,0.01019866491017854,0.0,0.0,109.0,17.0,0.0,0.46099290780141844,G,Minor,0.6027397260273972,0.989247311827957,0.8915662650602411,0.12371134020618557,0.38966365873667125,0.05319148936170213,0.024727992087042572,https://i.scdn.co/image/ab67616d0000b2739a8459318ff1a68ecfd74522,0
Another Love,Tom Odell,1,2012,10,15,18371.0,83,0.7001227693143798,250.0,122.0,3394.0,19.0,0.0,0.4113475177304964,E,Minor,0.30136986301369867,0.09677419354838711,0.4819277108433735,0.7216494845360825,0.0,0.06382978723404256,0.024727992087042572,https://i.scdn.co/image/ab67616d0000b2731917a0f3f4152622a040913f,2
Blinding Lights,The Weeknd,1,2019,11,29,43899.0,69,0.9999999999999999,672.0,199.0,3421.0,20.0,0.0,0.7517730496453899,C#,Major,0.3698630136986301,0.3655913978494624,0.7951807228915663,0.0,0.0,0.06382978723404256,0.09891196834817027,https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36,1
Moonlight,Kali Uchis,1,2023,2,24,2649.0,42,0.08823940710325195,67.0,79.0,57.0,1.0,615.0,0.5106382978723404,G,Minor,0.5616438356164384,0.903225806451613,0.6987951807228916,0.5257731958762887,0.0,0.14893617021276595,0.049455984174085144,https://i.scdn.co/image/ab67616d0000b27381fccd758776d16b87721b17,0
La Bachata,Manuel Turizo,1,2022,5,26,6804.0,45,0.46451936356190987,139.0,111.0,161.0,15.0,210.0,0.42553191489361697,G,Minor,0.8356164383561644,0.870967741935484,0.6506024096385543,0.5979381443298969,0.0,0.2021276595744681,0.024727992087042572,https://i.scdn.co/image/ab67616d0000b273c9f744b0d62da795bc21d04a,0
Tï¿½ï¿,"dennis, MC Kevin o Chris",2,2023,5,4,731.0,15,0.03144544685049752,27.0,17.0,73.0,4.0,167.0,0.46099290780141844,B,Major,0.8630136986301369,0.5913978494623657,0.9879518072289158,0.5154639175257731,0.02050861361771954,0.06382978723404256,0.049455984174085144,Not Found,0
Boy's a liar Pt. 2,"PinkPantheress, Ice Spice",2,2023,2,3,5184.0,41,0.04888845955613595,154.0,84.0,102.0,14.0,37.0,0.4822695035460993,F,Major,0.6438356164383561,0.881720430107527,0.8072289156626506,0.25773195876288657,0.0,0.23404255319148937,0.049455984174085144,https://i.scdn.co/image/ab67616d0000b27342c5ba689b2e7cbc208a8fa7,0
Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, BTS, Jung Kook",3,2022,6,24,3107.0,39,0.27054455793929644,38.0,0.0,4.0,0.0,0.0,0.25531914893617025,D,Major,0.8904109589041096,0.7311827956989249,0.5421686746987953,0.6391752577319587,0.0,0.06382978723404256,0.0,https://i.scdn.co/image/ab67616d0000b27335d2e0ed94a934f2cc46fa49,0
BESO,"Rauw Alejandro, ROSALï¿½",2,2023,3,24,4053.0,50,0.12810022736572732,82.0,121.0,182.0,12.0,171.0,0.21276595744680848,F,Minor,0.7397260273972603,0.5268817204301076,0.6024096385542169,0.7628865979381443,0.0,0.14893617021276595,0.27200791295746823,Not Found,2
Hey Mor,"Ozuna, Feid",2,2022,10,6,4637.0,38,0.2523272281756951,63.0,79.0,89.0,11.0,16.0,0.23404255319148937,C#,Minor,0.9178082191780823,0.38709677419354843,0.5421686746987953,0.0,0.0,0.07446808510638298,0.6429277942631068,https://i.scdn.co/image/ab67616d0000b273125624f2e04f5a1ccb0dfb45,3
Yellow,Chris Molitor,1,1999,1,1,31358.0,43,0.6771517555472292,196.0,2.0,4053.0,5.0,0.0,0.7659574468085105,B,Major,0.27397260273972596,0.25806451612903225,0.6265060240963856,0.0,0.0,0.2127659574468085,0.0,https://i.scdn.co/image/ab67616d0000b273be011d16b9360a7dee109774,1
Karma,Taylor Swift,1,2022,10,21,3818.0,23,0.1464258429279551,37.0,55.0,32.0,0.0,272.0,0.17730496453900713,G#,Major,0.5616438356164384,0.06451612903225808,0.5783132530120483,0.07216494845360824,0.0,0.4787234042553191,0.09891196834817027,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5,1
People,Libianca,1,2022,12,2,3506.0,56,0.13410209324019462,105.0,64.0,169.0,8.0,529.0,0.9432624113475178,A#,Minor,0.49315068493150677,0.7204301075268819,0.33734939759036153,0.5670103092783505,0.0,0.07446808510638298,0.09891196834817027,https://i.scdn.co/image/ab67616d0000b273fc342f95f117d48dbdde9735,2
Overdrive,Post Malone,1,2023,7,14,410.0,36,0.0,36.0,32.0,31.0,1.0,26.0,0.5319148936170213,C#,Major,0.4520547945205479,0.47311827956989244,0.710843373493976,0.0,0.0,0.3404255319148936,0.024727992087042572,https://i.scdn.co/image/ab67616d0000b27372694fed173af6d24d22eefb,1
Enchanted (Taylor's Version),Taylor Swift,1,2023,7,7,148.0,24,0.0030085339340270682,32.0,93.0,8.0,2.0,5.0,0.12056737588652477,G#,Major,0.38356164383561636,0.1935483870967742,0.4698795180722892,0.010309278350515464,0.0,0.12765957446808512,0.0,https://i.scdn.co/image/ab67616d0000b2730b04da4f224b51ff86e0a481,1
BABY HELLO,"Rauw Alejandro, Bizarrap",2,2023,6,23,1004.0,35,0.00878001634737095,42.0,80.0,58.0,3.0,169.0,0.46099290780141844,C#,Minor,0.7397260273972603,0.860215053763441,0.9036144578313253,0.17525773195876287,0.0,0.425531914893617,0.049455984174085144,https://i.scdn.co/image/ab67616d0000b2730ff08e0346b55268e735a4e9,0
Heat Waves,Glass Animals,1,2020,6,28,22543.0,63,0.9925893192011431,386.0,144.0,707.0,28.0,0.0,0.11347517730496448,B,Major,0.726027397260274,0.5268817204301076,0.4698795180722892,0.4536082474226804,0.0,0.06382978723404256,0.14836795252225543,https://i.scdn.co/image/ab67616d0000b273712701c5e263efc8726b1464,0
golden hour,JVKE,1,2022,7,15,4511.0,36,0.28260794868839817,70.0,58.0,109.0,18.0,230.0,0.2056737588652482,C#,Minor,0.38356164383561636,0.10752688172043011,0.5421686746987953,0.6701030927835051,0.36915504511895175,0.23404255319148937,0.0,https://i.scdn.co/image/ab67616d0000b273c2504e80ba2f258697ab2954,2
Sweater Weather,The Neighbourhood,1,2012,5,14,16413.0,61,0.8844503715334865,166.0,87.0,1056.0,1.0,0.0,0.4184397163120567,A#,Major,0.5205479452054795,0.39784946236559143,0.8072289156626506,0.05154639175257732,0.04101722723543908,0.07446808510638298,0.0,https://i.scdn.co/image/ab67616d0000b2738265a736a1eb838ad5a0b921,1
"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",2,2022,7,6,8506.0,45,0.5205062292193862,94.0,65.0,164.0,14.0,176.0,0.44680851063829785,D,Major,0.5342465753424657,0.5483870967741936,0.7710843373493976,0.010309278350515464,0.061525840853158625,0.2127659574468085,0.024727992087042572,https://i.scdn.co/image/ab67616d0000b2731630dd349221a35ce03a0ccf,1
Viva La Vida,Coldplay,1,2008,1,1,33898.0,62,0.6133756678446887,233.0,0.0,4095.0,9.0,0.0,0.5177304964539007,F,Minor,0.35616438356164387,0.40860215053763443,0.5783132530120483,0.09278350515463918,0.0,0.08510638297872342,0.0,https://i.scdn.co/image/ab67616d0000b273e21cc1db05580b6f2d2a3b6e,1
Here With Me,d4vd,1,2022,7,17,3246.0,23,0.23713588131580668,94.0,85.0,68.0,1.0,84.0,0.475177304964539,E,Major,0.4794520547945205,0.24731182795698925,0.40963855421686757,0.5154639175257731,0.0,0.09574468085106383,0.0,https://i.scdn.co/image/ab67616d0000b27364fa1bda999f4fbd2b7c4bb7,2
Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",2,2022,9,22,8576.0,42,0.4710392438820181,216.0,108.0,331.0,26.0,154.0,0.46808510638297873,D,Major,0.6575342465753424,0.2150537634408602,0.3975903614457832,0.010309278350515464,0.0,0.2553191489361702,0.14836795252225543,https://i.scdn.co/image/ab67616d0000b273a935e4689f15953311772cc4,1
Yandel 150,"Yandel, Feid",2,2022,12,20,3618.0,38,0.21760017790697925,47.0,74.0,80.0,14.0,194.0,0.7304964539007092,F#,Minor,0.7534246575342465,0.5806451612903226,0.710843373493976,0.05154639175257732,0.0,0.07446808510638298,0.09891196834817027,https://i.scdn.co/image/ab67616d0000b273b2aec01b56eeb74610532700,0
CORAZï¿½ï¿½N VA,Maria Becerra,1,2023,6,22,370.0,20,0.004690103408535654,12.0,16.0,18.0,4.0,93.0,0.23404255319148937,C#,Major,0.6164383561643836,0.38709677419354843,0.783132530120482,0.3402061855670103,0.0,0.2872340425531915,0.0741839762611277,Not Found,1
Riptide,Vance Joy,1,1975,1,1,31123.0,55,0.776911626956784,300.0,65.0,1003.0,1.0,0.0,0.26241134751773043,C#,Major,0.3424657534246575,0.49462365591397855,0.710843373493976,0.44329896907216493,0.0,0.12765957446808512,0.024727992087042572,https://i.scdn.co/image/ab67616d0000b273a9929deb093a6617d2493b03,1
Until I Found You (with Em Beihold) - Em Beihold Version,"Em Beihold, Stephen Sanchez",2,2022,4,22,2790.0,30,0.2236048926011638,60.0,96.0,71.0,0.0,115.0,0.25531914893617025,A#,Major,0.1506849315068493,0.3010752688172043,0.5180722891566265,0.8041237113402062,0.0,0.18085106382978725,0.0,Not Found,2
Novidade na ï¿½ï¿,"Mc Livinho, DJ Matt D",2,2023,6,23,267.0,9,0.00305997536636703,9.0,6.0,25.0,2.0,72.0,0.46099290780141844,F,Major,0.547945205479452,0.34408602150537637,0.24096385542168677,0.7835051546391752,0.0,0.3404255319148936,0.14836795252225543,Not Found,2
Back To December (Taylor's Version),Taylor Swift,1,2023,7,7,139.0,17,0.002871299804726158,16.0,72.0,5.0,0.0,8.0,0.5460992907801417,D,Major,0.3698630136986301,0.17204301075268819,0.6024096385542169,0.010309278350515464,0.0,0.09574468085106383,0.0,https://i.scdn.co/image/ab67616d0000b2730b04da4f224b51ff86e0a481,1
STAY (with Justin Bieber),"Justin Bieber, The Kid Laroi",2,2021,7,9,17050.0,36,0.9999999999999999,492.0,99.0,798.0,31.0,0.0,0.7446808510638298,C#,Major,0.49315068493150677,0.47311827956989244,0.746987951807229,0.041237113402061855,0.0,0.07446808510638298,0.049455984174085144,Not Found,1
El Merengue,"Marshmello, Manuel Turizo",2,2023,3,3,2114.0,44,0.07533124896693118,80.0,75.0,110.0,11.0,323.0,0.4184397163120567,G#,Minor,0.7534246575342465,0.7096774193548389,0.6506024096385543,0.030927835051546393,0.02050861361771954,0.08510638297872342,0.024727992087042572,https://i.scdn.co/image/ab67616d0000b273f404676577626a87d92cf33f,0
Someone You Loved,Lewis Capaldi,1,2018,11,8,17836.0,53,0.9999999999999999,440.0,125.0,1800.0,0.0,0.0,0.3191489361702128,C#,Major,0.3698630136986301,0.44086021505376344,0.32530120481927716,0.7731958762886598,0.0,0.08510638297872342,0.0,https://i.scdn.co/image/ab67616d0000b273fc2101e6889d6ce9025f85f2,2
Me Porto Bonito,"Chencho Corleone, Bad Bunny",2,2022,5,6,8870.0,43,0.5535889733613765,104.0,120.0,141.0,26.0,49.0,0.1914893617021276,C#,Minor,0.9315068493150684,0.41935483870967744,0.6867469879518073,0.09278350515463918,0.0,0.06382978723404256,0.12363996043521285,Not Found,0
Makeba,Jain,1,2015,6,22,6060.0,53,0.05248210181317502,150.0,148.0,2703.0,22.0,0.0,0.36170212765957444,D,Major,0.8082191780821919,0.38709677419354843,0.6265060240963856,0.4020618556701031,1.0,0.23404255319148937,0.09891196834817027,https://i.scdn.co/image/ab67616d0000b27364ba66f8a81c52364e55db50,1
