track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,cover_url,cluster
Pass The Dutchie,Musical Youth,1,1982,1,1,5328.0,0,0.06444099942681046,54.0,76.0,900.0,0.0,0.0,0.6099290780141843,G,Major,0.6849315068493151,0.903225806451613,0.6385542168674699,0.20618556701030927,0.0,0.30851063829787234,0.049455984174085144,https://i.scdn.co/image/ab67616d0000b27392a9d95df51a8d84f90166a6,0
"Villano Antillano: Bzrp Music Sessions, Vol. 51","Bizarrap, Villano Antillano",2,2022,6,8,1401.0,0,0.0851070626312788,26.0,16.0,17.0,0.0,1.0,0.44680851063829785,C#,Minor,0.8082191780821919,0.40860215053763443,0.7349397590361446,0.061855670103092786,0.0,0.6382978723404256,0.0741839762611277,https://i.scdn.co/image/ab67616d0000b273ab7954fdffcef5bb8e052f28,1
Love Of My Life,Harry Styles,1,2022,5,20,1933.0,0,0.079275597041731,13.0,2.0,31.0,0.0,0.0,0.375886524822695,G,Major,0.4520547945205479,0.17204301075268819,0.4819277108433735,0.6907216494845361,0.0,0.031914893617021274,0.049455984174085144,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0,2
Grapejuice,Harry Styles,1,2022,5,20,1986.0,0,0.06588285192092058,7.0,1.0,15.0,0.0,0.0,0.8368794326241135,F,Major,0.5753424657534247,0.903225806451613,0.6987951807228916,0.3711340206185567,0.28712059064807355,0.18085106382978725,0.0,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0,0
So Good,Halsey,1,2022,6,9,1057.0,0,0.023521248120170448,51.0,14.0,19.0,0.0,0.0,0.12765957446808507,D#,Minor,0.547945205479452,0.26881720430107525,0.5783132530120483,0.041237113402061855,0.0,0.1595744680851064,0.024727992087042572,https://i.scdn.co/image/ab67616d0000b27339e6616a499bc092f469cae0,1
Belly Dancer,"BYOR, Imanbek",2,2022,2,18,5115.0,13,0.13828142021702733,109.0,38.0,301.0,1.0,33.0,0.4042553191489362,C#,Major,0.8493150684931507,0.40860215053763443,0.7951807228915663,0.061855670103092786,0.0,0.14893617021276595,0.27200791295746823,Not Found,1
Keep Driving,Harry Styles,1,2022,5,20,2094.0,1,0.08021450750767806,8.0,1.0,18.0,0.0,0.0,0.7092198581560284,A,Major,0.6712328767123288,0.924731182795699,0.40963855421686757,0.32989690721649484,0.0,0.1595744680851064,0.4945598417408513,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0,3
Cinema,Harry Styles,1,2022,5,20,2171.0,0,0.061815516958931324,18.0,1.0,28.0,0.0,0.0,0.2907801418439716,A,Minor,0.821917808219178,0.924731182795699,0.6024096385542169,0.36082474226804123,0.1025430680885977,0.06382978723404256,0.024727992087042572,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0,0
Die Young (feat. 347aidan),"Sleepy hallow, 347aidan",2,2022,5,25,896.0,0,0.0506593318664378,19.0,0.0,15.0,0.0,0.0,0.08510638297872342,B,Major,0.7945205479452055,0.6881720430107527,0.5301204819277109,0.8556701030927835,0.0,0.08510638297872342,0.7665677546983196,https://i.scdn.co/image/ab67616d0000b273e44e304f52a82a3463ce5761,3
Only Love Can Hurt Like This,Paloma Faith,1,2014,1,1,5148.0,0,0.21888112081170513,90.0,22.0,365.0,0.0,114.0,0.1843971631205673,G#,Major,0.4657534246575343,0.2795698924731183,0.9036144578313253,0.10309278350515463,0.0,0.3191489361702128,0.12363996043521285,https://i.scdn.co/image/ab67616d0000b273c4576f635253db511bb43789,1
Hold My Hand,Lady Gaga,1,2022,5,3,2528.0,0,0.08111419974610509,63.0,8.0,270.0,2.0,105.0,0.5886524822695035,G,Major,0.38356164383561636,0.1827956989247312,0.5903614457831325,0.05154639175257732,0.0,0.40425531914893614,0.0,https://i.scdn.co/image/ab67616d0000b273b7e7edfee5626b7b1f15192a,1
Daydreaming,Harry Styles,1,2022,5,20,1900.0,1,0.06121283794893749,15.0,1.0,23.0,0.0,0.0,0.34751773049645385,E,Minor,0.6575342465753424,0.924731182795699,0.8072289156626506,0.31958762886597936,0.04101722723543908,0.10638297872340427,0.0,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0,0
Nos Comemos (feat. Ozuna),"Ozuna, Tiago pzk",2,2022,6,2,896.0,0,0.041813881030063504,0.0,0.0,2.0,0.0,0.0,0.1914893617021276,F#,Major,0.821917808219178,0.5591397849462366,0.819277108433735,0.10309278350515463,0.0,0.06382978723404256,0.049455984174085144,Not Found,0
Me and Your Mama,Childish Gambino,1,2016,11,10,8775.0,0,0.16254727795030202,33.0,60.0,107.0,1.0,0.0,0.375886524822695,F,Major,0.4520547945205479,0.22580645161290325,0.37349397590361455,0.010309278350515464,0.061525840853158625,0.0425531914893617,0.0,https://i.scdn.co/image/ab67616d0000b2737582716b3666a5235d5af4ea,1
Crazy What Love Can Do,"David Guetta, Ella Henderson, Becky Hill",3,2022,3,18,5290.0,0,0.10012825518709499,139.0,73.0,142.0,0.0,5.0,0.4113475177304964,E,Minor,0.5068493150684932,0.4516129032258065,0.6867469879518073,0.030927835051546393,0.0,0.13829787234042554,0.024727992087042572,https://i.scdn.co/image/ab67616d0000b273ef4ed3c74eb9eac3754b60d2,1
SLOW DANCING IN THE DARK,Joji,1,2018,9,12,10211.0,0,0.42847924709733637,38.0,79.0,65.0,0.0,1.0,0.17021276595744683,D#,Major,0.3972602739726027,0.25806451612903225,0.40963855421686757,0.5567010309278351,0.02050861361771954,0.1702127659574468,0.0,https://i.scdn.co/image/ab67616d0000b27360ba1d6104d0475c7555a6b2,2
Antes de Perderte,Duki,1,2022,6,2,584.0,8,0.049202162152824455,12.0,1.0,8.0,0.0,1.0,0.3191489361702128,F,Minor,0.7945205479452055,0.6129032258064517,0.9518072289156628,0.5051546391752577,0.0,0.09574468085106383,0.19782393669634052,https://i.scdn.co/image/ab67616d0000b273e63232b00577a053120ca08f,0
295,Sidhu Moose Wala,1,2021,5,15,246.0,4,0.05947216744998571,4.0,106.0,0.0,0.0,7.0,0.17730496453900713,B,Minor,0.6164383561643836,0.5376344086021506,0.746987951807229,0.21649484536082475,0.0,0.08510638297872342,0.42037586547972366,https://i.scdn.co/image/ab67616d0000b2731d1cc2e40d533d7bcebf5dae,3
En El Radio Un Cochinero,Victor Cibrian,1,2022,5,13,514.0,0,0.05223539441860138,5.0,36.0,1.0,0.0,0.0,0.6312056737588653,F#,Minor,0.6438356164383561,1.0000000000000002,0.5783132530120483,0.4845360824742268,0.0,0.07446808510638298,0.024727992087042572,https://i.scdn.co/image/ab67616d0000b273665cfd5826ac132eb42262d3,0
Master of Puppets (Remastered),Metallica,1,1986,3,3,6080.0,0,0.2641540965518882,112.0,198.0,406.0,1.0,0.0,0.2836879432624113,E,Minor,0.4246575342465753,0.5913978494623657,0.8313253012048193,0.0,0.9023789991796598,0.18085106382978725,0.024727992087042572,https://i.scdn.co/image/ab67616d0000b273cad4832cb7b5844343278daa,1
BREAK MY SOUL,Beyoncï¿,1,2022,6,21,9724.0,0,0.1267992936053993,222.0,61.0,259.0,14.0,2.0,0.35460992907801414,C#,Minor,0.6438356164383561,0.89247311827957,0.8915662650602411,0.041237113402061855,0.0,0.2446808510638298,0.12363996043521285,Not Found,0
ULTRA SOLO REMIX,"De La Ghetto, Feid, Polima WestCoast, Paloma Mami, Pailita",5,2022,6,16,2341.0,0,0.09736899135941225,37.0,2.0,38.0,2.0,0.0,0.3191489361702128,C#,Major,0.9315068493150684,0.5913978494623657,0.819277108433735,0.08247422680412371,0.0,0.031914893617021274,0.12363996043521285,Not Found,0
Massive,Drake,1,2022,6,17,5263.0,0,0.06432711461685282,66.0,89.0,61.0,0.0,11.0,0.42553191489361697,E,Minor,0.38356164383561636,0.010752688172043015,0.6506024096385543,0.12371134020618557,0.04101722723543908,0.12765957446808512,0.0741839762611277,https://i.scdn.co/image/ab67616d0000b2738dc0d801766a5aa6a33cbe37,1
Betty (Get Money),Yung Gravy,1,2022,6,10,2402.0,0,0.0745924022685623,45.0,2.0,26.0,0.0,1.0,0.26241134751773043,C#,Major,0.6849315068493151,0.6236559139784947,0.7349397590361446,0.0,0.0,0.32978723404255317,0.12363996043521285,https://i.scdn.co/image/ab67616d0000b273633674a4e5072dabf5173069,0
